Human	hg
Chimp	panTro
Gorilla	gorGor
Orangutan	ponAbe
Gibbon	nomLeu
Rhesus	rheMac
Crab_eating_macaque	macFas
Baboon	papHam
Baboon	papAnu
Green_monkey	chlSab
Marmoset	calJac
Squirrel_monkey	saiBol
Bushbaby	otoGar
Chinese_tree_shrew	tupChi
Squirrel	speTri
Lesser_Egyptian_jerboa	jacJac
Prairie_vole	micOch
Chinese_hamster	criGri
Golden_hamster	mesAur
Mouse	mm
Rat	rn
Naked_mole_rat	hetGla
Guinea_pig	cavPor
Chinchilla	chiLan
Brush_tailed_rat	octDeg
Rabbit	oryCun
Pika	ochPri
Pig	susScr
Alpaca	vicPac
Wild_bactrian_camel	camFer
Dolphin	turTru
Killer_whale	orcOrc
Tibetan_antelope	panHod
Cow	bosTau
Cow	bosTau
Sheep	oviAri
Domestic_goat	capHir
Horse	equCab
White_rhinoceros	cerSim
Cat	felCat
Dog	canFam
Ferret	musFur
Panda	ailMel
Pacific_walrus	odoRosDiv
Weddell_seal	lepWed
Black_flying_fox	pteAle
Megabat	pteVam
Davids_myotis	myoDav
Microbat	myoLuc
Big_brown_bat	eptFus
Hedgehog	eriEur
Shrew	sorAra
Star_nosed_mole	conCri
Elephant	loxAfr
Cape_elephant_shrew	eleEdw
Manatee	triMan
Cape_golden_mole	chrAsi
Tenrec	echTel
Aardvark	oryAfe
Armadillo	dasNov
Opossum	monDom
Tasmanian_devil	sarHar
Wallaby	macEug
Platypus	ornAna
Saker_falcon	falChe
Peregrine_falcon	falPer
Collared_flycatcher	ficAlb
White_throated_sparrow	zonAlb
Medium_ground_finch	geoFor
Zebra_finch	taeGut
Tibetan_ground_jay	pseHum
Budgerigar	melUnd
Puerto_Rican_parrot	amaVit
Scarlet_macaw	araMac
Rock_pigeon	colLiv
Mallard_duck	anaPla
Chicken	galGal
Turkey	melGal
American_alligator	allMis
Green_seaturtle	cheMyd
Painted_turtle	chrPic
Chinese_softshell_turtle	pelSin
Spiny_softshell_turtle	apaSpi
Lizard	anoCar
Frog_X._tropicalis	xenTro
Coelacanth	latCha
Tetraodon	tetNig
Fugu	fr
Yellowbelly_pufferfish	takFla
Nile_tilapia	oreNil
Princess_of_Burundi	neoBri
Burtons_mouthbreeder	hapBur
Zebra_mbuna	mayZeb
Pundamilia_nyererei	punNye
Medaka	oryLat
Southern_platyfish	xipMac
Stickleback	gasAcu
Atlantic_cod	gadMor
Zebrafish	danRer
Mexican_tetra	astMex
Spotted_gar	lepOcu
Lamprey	petMar
Peregrine_falcon	falPer
Saker_falcon	falChe
Japanese_quail	cotJap
Common_cuckoo	cucCan
Barn_owl	tytAlb
Northern_fulmar	fulGla
American_flamingo	phoRub
White_tailed_tropicbird	phaLep
Golden_eagle	aquChr
White_tailed_eagle	halAlb
Bald_eagle	halLeu
Crested_ibis	nipNip
Bar_tailed_trogon	apaVit
Speckled_mousebird	colStr
American_crow	corBra
Hooded_crow	corCor
Great_cormorant	phaCar
Cuckoo_roller	lepDis
Canary	serCan
Annas_hummingbird	calAnn
Rifleman	acaChl
Killdeer	chaVoc
Hoatzin	opiHoa
Sunbittern	eurHel
Ostrich	strCam
Yellow_throated_sandgrouse	pteGut
White_throated_tinamou	tinGut
Emperor_penguin	aptFor
Adelie_penguin	pygAdes
Little_egret	egrGar
Dalmatian_pelican	pelCri
Red_throated_loon	gavSte
Grey_crowned_crain	balPav
Rhinoceros_hornbill	bucRhi
Northern_carmine_bee_eater	merNub
Red_legged_seriema	carCri
Downy_woodpecker	picPub
Chuck_wills_widow	capCar
Brown_roatelo	mesUni
Red_crested_turaco	tauEry
Macqueens_bustard	chlUnd
Scer	sacCer
Skud	sacKud
Smik	sacMik
Spar	sacPar
Sbay	sacBay
Scas	sacCas
Sklu	sacKlu
